timestamp,product_id,url,stage,status,elapsed_ms
2025-11-24T09:41:49.704884+00:00,100012,https://www.glamira.co.uk/catalog/product/view/id/100012,parse,success,11638.4
2025-11-24T09:41:50.020827+00:00,100020,https://www.glamira.co.uk/catalog/product/view/id/100020,parse,success,11953.5
2025-11-24T09:41:50.153092+00:00,100004,https://www.glamira.co.uk/catalog/product/view/id/100004,parse,success,12087.4
2025-11-24T09:41:50.257178+00:00,100022,https://www.glamira.co.uk/catalog/product/view/id/100022,parse,success,12189.7
2025-11-24T09:41:50.367127+00:00,100009,https://www.glamira.co.uk/catalog/product/view/id/100009,parse,success,12300.9
2025-11-24T09:41:50.490052+00:00,100011,https://www.glamira.co.uk/catalog/product/view/id/100011,parse,success,12423.6
2025-11-24T09:41:50.637652+00:00,100005,https://www.glamira.co.uk/catalog/product/view/id/100005,parse,success,12571.8
2025-11-24T09:41:50.751672+00:00,100027,https://www.glamira.co.uk/catalog/product/view/id/100027,parse,success,12683.7
2025-11-24T09:41:51.109855+00:00,100017,https://www.glamira.co.uk/catalog/product/view/id/100017,parse,success,13043.0
2025-11-24T09:41:51.232896+00:00,100028,https://www.glamira.co.uk/catalog/product/view/id/100028,parse,success,13164.9
2025-11-24T09:41:51.356324+00:00,100000,https://www.glamira.co.uk/catalog/product/view/id/100000,parse,success,13292.8
2025-11-24T09:41:51.357415+00:00,100030,https://www.glamira.co.uk/catalog/product/view/id/100030,request,200,4376.1
2025-11-24T09:41:51.494514+00:00,100030,https://www.glamira.co.uk/catalog/product/view/id/100030,parse,success,4513.2
2025-11-24T09:41:51.495116+00:00,100031,https://www.glamira.co.uk/catalog/product/view/id/100031,request,200,4321.7
2025-11-24T09:41:51.608377+00:00,100031,https://www.glamira.co.uk/catalog/product/view/id/100031,parse,success,4435.0
2025-11-24T09:41:51.726903+00:00,100014,https://www.glamira.co.uk/catalog/product/view/id/100014,parse,success,13660.3
2025-11-24T09:41:51.727483+00:00,100032,https://www.glamira.co.uk/catalog/product/view/id/100032,request,200,4368.5
2025-11-24T09:41:51.838158+00:00,100032,https://www.glamira.co.uk/catalog/product/view/id/100032,parse,success,4479.1
2025-11-24T09:41:51.963418+00:00,100023,https://www.glamira.co.uk/catalog/product/view/id/100023,parse,success,13895.9
2025-11-24T09:41:51.964307+00:00,100035,https://www.glamira.co.uk/catalog/product/view/id/100035,request,200,3893.6
2025-11-24T09:41:52.326441+00:00,100035,https://www.glamira.co.uk/catalog/product/view/id/100035,parse,success,4255.7
2025-11-24T09:41:52.326834+00:00,100033,https://www.glamira.co.uk/catalog/product/view/id/100033,request,200,4257.1
2025-11-24T09:41:52.440268+00:00,100033,https://www.glamira.co.uk/catalog/product/view/id/100033,parse,success,4370.5
2025-11-24T09:41:52.441360+00:00,100036,https://www.glamira.co.uk/catalog/product/view/id/100036,request,200,4370.3
2025-11-24T09:41:52.580254+00:00,100036,https://www.glamira.co.uk/catalog/product/view/id/100036,parse,success,4509.2
2025-11-24T09:41:52.581245+00:00,100034,https://www.glamira.co.uk/catalog/product/view/id/100034,request,200,4510.9
2025-11-24T09:41:52.704561+00:00,100034,https://www.glamira.co.uk/catalog/product/view/id/100034,parse,success,4634.2
2025-11-24T09:41:52.717538+00:00,100049,https://www.glamira.co.uk/catalog/product/view/id/100049,request,200,1356.9
2025-11-24T09:41:52.717625+00:00,100037,https://www.glamira.co.uk/catalog/product/view/id/100037,request,200,1360.1
2025-11-24T09:41:52.717702+00:00,100041,https://www.glamira.co.uk/catalog/product/view/id/100041,request,200,1358.9
2025-11-24T09:41:52.717775+00:00,100050,https://www.glamira.co.uk/catalog/product/view/id/100050,request,200,1356.9
2025-11-24T09:41:52.717853+00:00,100057,https://www.glamira.co.uk/catalog/product/view/id/100057,request,200,1355.8
2025-11-24T09:41:52.717895+00:00,100048,https://www.glamira.co.uk/catalog/product/view/id/100048,request,200,1357.4
2025-11-24T09:41:52.717922+00:00,100058,https://www.glamira.co.uk/catalog/product/view/id/100058,request,200,1355.6
2025-11-24T09:41:52.717958+00:00,100039,https://www.glamira.co.uk/catalog/product/view/id/100039,request,200,1359.6
2025-11-24T09:41:52.718053+00:00,100055,https://www.glamira.co.uk/catalog/product/view/id/100055,request,200,1356.3
2025-11-24T09:41:52.825970+00:00,100055,https://www.glamira.co.uk/catalog/product/view/id/100055,parse,success,1464.2
2025-11-24T09:41:52.826162+00:00,100051,https://www.glamira.co.uk/catalog/product/view/id/100051,request,200,1465.0
2025-11-24T09:41:52.826216+00:00,100045,https://www.glamira.co.uk/catalog/product/view/id/100045,request,200,1466.4
2025-11-24T09:41:52.846707+00:00,100043,https://www.glamira.co.uk/catalog/product/view/id/100043,request,200,1487.4
2025-11-24T09:41:52.846763+00:00,100046,https://www.glamira.co.uk/catalog/product/view/id/100046,request,200,1486.7
2025-11-24T09:41:52.846851+00:00,100054,https://www.glamira.co.uk/catalog/product/view/id/100054,request,200,1485.3
2025-11-24T09:41:52.847005+00:00,100052,https://www.glamira.co.uk/catalog/product/view/id/100052,request,200,1485.7
2025-11-24T09:41:52.847308+00:00,100040,https://www.glamira.co.uk/catalog/product/view/id/100040,request,200,1488.7
2025-11-24T09:41:52.847340+00:00,100044,https://www.glamira.co.uk/catalog/product/view/id/100044,request,200,1487.8
2025-11-24T09:41:52.847368+00:00,100038,https://www.glamira.co.uk/catalog/product/view/id/100038,request,200,1489.3
2025-11-24T09:41:52.847409+00:00,100059,https://www.glamira.co.uk/catalog/product/view/id/100059,request,200,1484.7
2025-11-24T09:41:52.966731+00:00,100041,https://www.glamira.co.uk/catalog/product/view/id/100041,parse,success,1607.9
2025-11-24T09:41:52.967314+00:00,100047,https://www.glamira.co.uk/catalog/product/view/id/100047,request,200,1607.1
2025-11-24T09:41:53.094473+00:00,100049,https://www.glamira.co.uk/catalog/product/view/id/100049,parse,success,1733.8
2025-11-24T09:41:53.201340+00:00,100045,https://www.glamira.co.uk/catalog/product/view/id/100045,parse,success,1841.5
2025-11-24T09:41:53.516095+00:00,100037,https://www.glamira.co.uk/catalog/product/view/id/100037,parse,success,2158.6
2025-11-24T09:41:53.634573+00:00,100050,https://www.glamira.co.uk/catalog/product/view/id/100050,parse,success,2273.7
2025-11-24T09:41:53.760578+00:00,100047,https://www.glamira.co.uk/catalog/product/view/id/100047,parse,success,2400.3
2025-11-24T09:41:53.882912+00:00,100048,https://www.glamira.co.uk/catalog/product/view/id/100048,parse,success,2522.5
2025-11-24T09:41:53.883734+00:00,100042,https://www.glamira.co.uk/catalog/product/view/id/100042,request,200,2524.6
2025-11-24T09:41:54.000043+00:00,100058,https://www.glamira.co.uk/catalog/product/view/id/100058,parse,success,2637.7
2025-11-24T09:41:54.118122+00:00,100039,https://www.glamira.co.uk/catalog/product/view/id/100039,parse,success,2759.8
2025-11-24T09:41:54.218298+00:00,100054,https://www.glamira.co.uk/catalog/product/view/id/100054,parse,success,2856.8
2025-11-24T09:41:54.567339+00:00,100046,https://www.glamira.co.uk/catalog/product/view/id/100046,parse,success,3207.3
2025-11-24T09:41:54.670125+00:00,100057,https://www.glamira.co.uk/catalog/product/view/id/100057,parse,success,3308.1
2025-11-24T09:41:54.769921+00:00,100059,https://www.glamira.co.uk/catalog/product/view/id/100059,parse,success,3407.2
2025-11-24T09:41:54.878041+00:00,100052,https://www.glamira.co.uk/catalog/product/view/id/100052,parse,success,3516.7
2025-11-24T09:41:54.992024+00:00,100044,https://www.glamira.co.uk/catalog/product/view/id/100044,parse,success,3632.5
2025-11-24T09:41:55.111851+00:00,100043,https://www.glamira.co.uk/catalog/product/view/id/100043,parse,success,3752.5
2025-11-24T09:41:55.202142+00:00,100051,https://www.glamira.co.uk/catalog/product/view/id/100051,parse,success,3841.0
2025-11-24T09:41:55.299972+00:00,100038,https://www.glamira.co.uk/catalog/product/view/id/100038,parse,success,3941.9
2025-11-24T09:41:55.564336+00:00,100040,https://www.glamira.co.uk/catalog/product/view/id/100040,parse,success,4205.7
2025-11-24T09:41:55.564588+00:00,100064,https://www.glamira.co.uk/catalog/product/view/id/100064,request,200,2857.7
2025-11-24T09:41:55.627531+00:00,100064,https://www.glamira.co.uk/catalog/product/view/id/100064,parse,success,2920.6
2025-11-24T09:41:55.627735+00:00,100066,https://www.glamira.co.uk/catalog/product/view/id/100066,request,200,2920.3
2025-11-24T09:41:55.686282+00:00,100066,https://www.glamira.co.uk/catalog/product/view/id/100066,parse,success,2978.9
2025-11-24T09:41:55.686547+00:00,100067,https://www.glamira.co.uk/catalog/product/view/id/100067,request,200,2978.8
2025-11-24T09:41:55.749490+00:00,100067,https://www.glamira.co.uk/catalog/product/view/id/100067,parse,success,3041.8
2025-11-24T09:41:55.749672+00:00,100060,https://www.glamira.co.uk/catalog/product/view/id/100060,request,200,3044.4
2025-11-24T09:41:55.808670+00:00,100060,https://www.glamira.co.uk/catalog/product/view/id/100060,parse,success,3103.4
2025-11-24T09:41:55.808905+00:00,100065,https://www.glamira.co.uk/catalog/product/view/id/100065,request,200,3101.7
2025-11-24T09:41:55.864796+00:00,100065,https://www.glamira.co.uk/catalog/product/view/id/100065,parse,success,3157.6
2025-11-24T09:41:55.865001+00:00,100068,https://www.glamira.co.uk/catalog/product/view/id/100068,request,200,3157.0
2025-11-24T09:41:55.920231+00:00,100068,https://www.glamira.co.uk/catalog/product/view/id/100068,parse,success,3212.3
2025-11-24T09:41:55.920540+00:00,100062,https://www.glamira.co.uk/catalog/product/view/id/100062,request,200,3214.2
2025-11-24T09:41:55.973878+00:00,100062,https://www.glamira.co.uk/catalog/product/view/id/100062,parse,success,3267.6
2025-11-24T09:41:55.974074+00:00,100061,https://www.glamira.co.uk/catalog/product/view/id/100061,request,200,3268.1
2025-11-24T09:41:56.025994+00:00,100061,https://www.glamira.co.uk/catalog/product/view/id/100061,parse,success,3320.1
2025-11-24T09:41:56.026259+00:00,100063,https://www.glamira.co.uk/catalog/product/view/id/100063,request,200,3319.6
2025-11-24T09:41:56.240452+00:00,100063,https://www.glamira.co.uk/catalog/product/view/id/100063,parse,success,3533.8
2025-11-24T09:41:56.240672+00:00,100069,https://www.glamira.co.uk/catalog/product/view/id/100069,request,200,3414.3
2025-11-24T09:41:56.294244+00:00,100069,https://www.glamira.co.uk/catalog/product/view/id/100069,parse,success,3467.9
2025-11-24T09:41:56.294474+00:00,100070,https://www.glamira.co.uk/catalog/product/view/id/100070,request,200,3326.5
2025-11-24T09:41:56.342509+00:00,100070,https://www.glamira.co.uk/catalog/product/view/id/100070,parse,success,3374.5
2025-11-24T09:41:56.410582+00:00,100042,https://www.glamira.co.uk/catalog/product/view/id/100042,parse,success,5051.5
2025-11-24T09:41:56.410805+00:00,100075,https://www.glamira.co.uk/catalog/product/view/id/100075,request,200,2518.6
2025-11-24T09:41:56.459956+00:00,100075,https://www.glamira.co.uk/catalog/product/view/id/100075,parse,success,2567.8
2025-11-24T09:41:56.460131+00:00,100076,https://www.glamira.co.uk/catalog/product/view/id/100076,request,200,2567.7
2025-11-24T09:41:56.515731+00:00,100076,https://www.glamira.co.uk/catalog/product/view/id/100076,parse,success,2623.3
2025-11-24T09:41:56.515985+00:00,100073,https://www.glamira.co.uk/catalog/product/view/id/100073,request,200,2624.4
2025-11-24T09:41:56.568028+00:00,100073,https://www.glamira.co.uk/catalog/product/view/id/100073,parse,success,2676.4
2025-11-24T09:41:56.568294+00:00,100074,https://www.glamira.co.uk/catalog/product/view/id/100074,request,200,2676.4
2025-11-24T09:41:56.625717+00:00,100074,https://www.glamira.co.uk/catalog/product/view/id/100074,parse,success,2733.8
2025-11-24T09:41:56.625949+00:00,100071,https://www.glamira.co.uk/catalog/product/view/id/100071,request,200,2735.1
2025-11-24T09:41:56.845781+00:00,100071,https://www.glamira.co.uk/catalog/product/view/id/100071,parse,success,2954.9
2025-11-24T09:41:56.846040+00:00,100072,https://www.glamira.co.uk/catalog/product/view/id/100072,request,200,2954.7
2025-11-24T09:41:56.896047+00:00,100072,https://www.glamira.co.uk/catalog/product/view/id/100072,parse,success,3004.7
2025-11-24T09:41:56.907031+00:00,100080,https://www.glamira.co.uk/catalog/product/view/id/100080,request,200,1884.7
2025-11-24T09:41:56.960197+00:00,100080,https://www.glamira.co.uk/catalog/product/view/id/100080,parse,success,1937.9
2025-11-24T09:41:56.960390+00:00,100078,https://www.glamira.co.uk/catalog/product/view/id/100078,request,200,1938.5
2025-11-24T09:41:57.019687+00:00,100078,https://www.glamira.co.uk/catalog/product/view/id/100078,parse,success,1997.8
2025-11-24T09:41:57.020385+00:00,100084,https://www.glamira.co.uk/catalog/product/view/id/100084,request,200,1997.1
2025-11-24T09:41:57.072806+00:00,100084,https://www.glamira.co.uk/catalog/product/view/id/100084,parse,success,2049.5
2025-11-24T09:41:57.073010+00:00,100081,https://www.glamira.co.uk/catalog/product/view/id/100081,request,200,2050.5
2025-11-24T09:41:57.122119+00:00,100081,https://www.glamira.co.uk/catalog/product/view/id/100081,parse,success,2099.6
2025-11-24T09:41:57.122334+00:00,100082,https://www.glamira.co.uk/catalog/product/view/id/100082,request,200,2099.6
2025-11-24T09:41:57.173938+00:00,100082,https://www.glamira.co.uk/catalog/product/view/id/100082,parse,success,2151.2
2025-11-24T09:41:57.174112+00:00,100083,https://www.glamira.co.uk/catalog/product/view/id/100083,request,200,2151.0
2025-11-24T09:41:57.228754+00:00,100083,https://www.glamira.co.uk/catalog/product/view/id/100083,parse,success,2205.7
2025-11-24T09:41:57.228992+00:00,100079,https://www.glamira.co.uk/catalog/product/view/id/100079,request,200,2206.8
2025-11-24T09:41:57.490040+00:00,100079,https://www.glamira.co.uk/catalog/product/view/id/100079,parse,success,2467.9
2025-11-24T09:41:57.877935+00:00,100098,https://www.glamira.co.uk/catalog/product/view/id/100098,request,200,1525.3
2025-11-24T09:41:57.877979+00:00,100092,https://www.glamira.co.uk/catalog/product/view/id/100092,request,200,1526.2
2025-11-24T09:41:57.884062+00:00,100085,https://www.glamira.co.uk/catalog/product/view/id/100085,request,200,1533.6
2025-11-24T09:41:57.885654+00:00,100089,https://www.glamira.co.uk/catalog/product/view/id/100089,request,200,1534.3
2025-11-24T09:41:57.889183+00:00,100091,https://www.glamira.co.uk/catalog/product/view/id/100091,request,200,1537.5
2025-11-24T09:41:57.893101+00:00,100097,https://www.glamira.co.uk/catalog/product/view/id/100097,request,200,1540.7
2025-11-24T09:41:57.893812+00:00,100087,https://www.glamira.co.uk/catalog/product/view/id/100087,request,200,1542.7
2025-11-24T09:41:57.894123+00:00,100090,https://www.glamira.co.uk/catalog/product/view/id/100090,request,200,1542.6
2025-11-24T09:41:58.111616+00:00,100099,https://www.glamira.co.uk/catalog/product/view/id/100099,request,200,1758.8
2025-11-24T09:41:58.111685+00:00,100094,https://www.glamira.co.uk/catalog/product/view/id/100094,request,200,1759.6
2025-11-24T09:41:58.111770+00:00,100095,https://www.glamira.co.uk/catalog/product/view/id/100095,request,200,1759.6
2025-11-24T09:41:58.111804+00:00,100096,https://www.glamira.co.uk/catalog/product/view/id/100096,request,200,1759.5
2025-11-24T09:41:58.111827+00:00,100088,https://www.glamira.co.uk/catalog/product/view/id/100088,request,200,1760.6
2025-11-24T09:41:58.111890+00:00,100086,https://www.glamira.co.uk/catalog/product/view/id/100086,request,200,1761.0
2025-11-24T09:41:58.190424+00:00,100088,https://www.glamira.co.uk/catalog/product/view/id/100088,parse,success,1839.3
2025-11-24T09:41:58.190625+00:00,100093,https://www.glamira.co.uk/catalog/product/view/id/100093,request,200,1838.7
2025-11-24T09:41:58.192159+00:00,100104,https://www.glamira.co.uk/catalog/product/view/id/100104,request,200,1285.6
2025-11-24T09:41:58.192195+00:00,100107,https://www.glamira.co.uk/catalog/product/view/id/100107,request,200,1285.4
2025-11-24T09:41:58.928836+00:00,100101,https://www.glamira.co.uk/catalog/product/view/id/100101,request,200,2022.6
2025-11-24T09:41:58.937983+00:00,100077,https://www.glamira.co.uk/catalog/product/view/id/100077,request,200,3916.7
2025-11-24T09:41:59.041034+00:00,100098,https://www.glamira.co.uk/catalog/product/view/id/100098,parse,success,2688.4
2025-11-24T09:41:59.148420+00:00,100092,https://www.glamira.co.uk/catalog/product/view/id/100092,parse,success,2796.7
2025-11-24T09:41:59.148690+00:00,100102,https://www.glamira.co.uk/catalog/product/view/id/100102,request,200,2242.3
2025-11-24T09:41:59.257407+00:00,100085,https://www.glamira.co.uk/catalog/product/view/id/100085,parse,success,2906.9
2025-11-24T09:41:59.372944+00:00,100087,https://www.glamira.co.uk/catalog/product/view/id/100087,parse,success,3021.9
2025-11-24T09:41:59.487848+00:00,100089,https://www.glamira.co.uk/catalog/product/view/id/100089,parse,success,3136.5
2025-11-24T09:41:59.601175+00:00,100091,https://www.glamira.co.uk/catalog/product/view/id/100091,parse,success,3249.6
2025-11-24T09:41:59.959208+00:00,100086,https://www.glamira.co.uk/catalog/product/view/id/100086,parse,success,3608.3
2025-11-24T09:42:00.065883+00:00,100095,https://www.glamira.co.uk/catalog/product/view/id/100095,parse,success,3713.7
2025-11-24T09:42:00.192769+00:00,100090,https://www.glamira.co.uk/catalog/product/view/id/100090,parse,success,3841.3
2025-11-24T09:42:00.322055+00:00,100093,https://www.glamira.co.uk/catalog/product/view/id/100093,parse,success,3970.2
2025-11-24T09:42:00.323724+00:00,100111,https://www.glamira.co.uk/catalog/product/view/id/100111,request,404,2832.0
2025-11-24T09:42:00.323834+00:00,100108,https://www.glamira.co.uk/catalog/product/view/id/100108,request,200,2832.7
2025-11-24T09:42:00.431112+00:00,100108,https://www.glamira.co.uk/catalog/product/view/id/100108,parse,success,2940.0
2025-11-24T09:42:00.431456+00:00,100109,https://www.glamira.co.uk/catalog/product/view/id/100109,request,200,2940.0
2025-11-24T09:42:00.545061+00:00,100109,https://www.glamira.co.uk/catalog/product/view/id/100109,parse,success,3053.6
