product_id,url,name,sku,price,category_name
100051,https://www.glamira.co.uk/catalog/product/view/id/100051,Women's Necklace Zerelda,Zerelda,397.000000,Necklaces
100038,https://www.glamira.co.uk/catalog/product/view/id/100038,Women's Pendant Idelia,IDELIA,367.000000,Necklaces
100040,https://www.glamira.co.uk/catalog/product/view/id/100040,GLAMIRA Pendant Karlin,KARLIN,290.000000,
100064,https://www.glamira.co.uk/catalog/product/view/id/100064,Women's Earring Amiran,Amiran,275.000000,Earrings
100066,https://www.glamira.co.uk/catalog/product/view/id/100066,Women's Earring Andelip,ANDELIP,843.000000,Earrings
100067,https://www.glamira.co.uk/catalog/product/view/id/100067,Women's Earring Argana,ARGANA,426.000000,Earrings
100060,https://www.glamira.co.uk/catalog/product/view/id/100060,Women's Earring Alaleh,ALALEH,437.000000,Earrings
100065,https://www.glamira.co.uk/catalog/product/view/id/100065,Women's Earring Anark,Anark,399.000000,Earrings
100068,https://www.glamira.co.uk/catalog/product/view/id/100068,Women's Earring Arikal,ARIKAL,847.000000,Earrings
100062,https://www.glamira.co.uk/catalog/product/view/id/100062,Women's Earring Alisa,ALISA,286.000000,Earrings
100061,https://www.glamira.co.uk/catalog/product/view/id/100061,Women's Earring Alayunt,ALAYUNT,327.000000,Earrings
100063,https://www.glamira.co.uk/catalog/product/view/id/100063,Women's Earring Almula,ALMULA,379.000000,Earrings
100069,https://www.glamira.co.uk/catalog/product/view/id/100069,Women's Earring Arsal,ARSAL,554.000000,Earrings
100070,https://www.glamira.co.uk/catalog/product/view/id/100070,Women's Earring Asanel,ASANEL,402.000000,Earrings
100042,https://www.glamira.co.uk/catalog/product/view/id/100042,Women's Necklace Lovissa,LOVISSA,195.000000,Necklaces
100075,https://www.glamira.co.uk/catalog/product/view/id/100075,Women's Earring Beder,Beder,338.000000,Earrings
100076,https://www.glamira.co.uk/catalog/product/view/id/100076,Women's Earring Bedia,BEDIA,379.000000,Earrings
100073,https://www.glamira.co.uk/catalog/product/view/id/100073,Women's Earring Azita,AZITA,436.000000,Earrings
100074,https://www.glamira.co.uk/catalog/product/view/id/100074,Women's Earring Barika,Barika,311.000000,Earrings
100071,https://www.glamira.co.uk/catalog/product/view/id/100071,Women's Earring Assieh,ASSIEH,308.000000,Earrings
100072,https://www.glamira.co.uk/catalog/product/view/id/100072,Women's Earring Atoosa,ATOOSA,307.000000,Earrings
100080,https://www.glamira.co.uk/catalog/product/view/id/100080,Women's Earring Besalet,BESALET,398.000000,Earrings
100078,https://www.glamira.co.uk/catalog/product/view/id/100078,Women's Earring Bedreka,BEDREKA,380.000000,Earrings
100084,https://www.glamira.co.uk/catalog/product/view/id/100084,Women's Earring Calibe,CALIBE,444.000000,Earrings
100081,https://www.glamira.co.uk/catalog/product/view/id/100081,Women's Earring Bihine,BIHINE,372.000000,Earrings
100082,https://www.glamira.co.uk/catalog/product/view/id/100082,Women's Earring Binzet,BINZET,334.000000,Earrings
100083,https://www.glamira.co.uk/catalog/product/view/id/100083,Women's Earring Bolour,BOLOUR,284.000000,Earrings
100079,https://www.glamira.co.uk/catalog/product/view/id/100079,Women's Earring Berceste,BERCESTE,377.000000,Earrings
100088,https://www.glamira.co.uk/catalog/product/view/id/100088,Women's Earring Daime,DAIME,245.000000,Earrings
100098,https://www.glamira.co.uk/catalog/product/view/id/100098,Women's Earring Jenilie,JENILIE,616.000000,Earrings
100092,https://www.glamira.co.uk/catalog/product/view/id/100092,Women's Earring Deviner,DEVINER,328.000000,Earrings
100085,https://www.glamira.co.uk/catalog/product/view/id/100085,Women's Earring Canel,CANEL,385.000000,Earrings
100087,https://www.glamira.co.uk/catalog/product/view/id/100087,Women's Earring Chalipa,CHALIPA,270.000000,Earrings
100089,https://www.glamira.co.uk/catalog/product/view/id/100089,Women's Earring Dalayer,DALAYER,394.000000,Earrings
100091,https://www.glamira.co.uk/catalog/product/view/id/100091,Women's Earring Demhosie,DEMHOSIE,465.000000,Earrings
100086,https://www.glamira.co.uk/catalog/product/view/id/100086,Women's Earring Cevza,CEVZA,292.000000,Earrings
100095,https://www.glamira.co.uk/catalog/product/view/id/100095,Women's Earring Farangis,FARANGIS,314.000000,Earrings
100090,https://www.glamira.co.uk/catalog/product/view/id/100090,Women's Earring Delbar,DELBAR,500.000000,Earrings
100093,https://www.glamira.co.uk/catalog/product/view/id/100093,Women's Earring Duhter,Duhter,527.000000,Earrings
100108,https://www.glamira.co.uk/catalog/product/view/id/100108,GLAMIRA Ring Georga,SGR-001,979.000000,Rings
100109,https://www.glamira.co.uk/catalog/product/view/id/100109,GLAMIRA Ring Messina,SGR-002,704.000000,Rings
100077,https://www.glamira.co.uk/catalog/product/view/id/100077,Women's Earring Bedirnisa,BEDIRNISA,333.000000,Earrings
100102,https://www.glamira.co.uk/catalog/product/view/id/100102,Women's Earring Mariutz,MARIUTZ,304.000000,Earrings
100110,https://www.glamira.co.uk/catalog/product/view/id/100110,Kid's Pendant Messier,SGP-001,231.000000,Necklaces
100113,https://www.glamira.co.uk/catalog/product/view/id/100113,Women's Earring Raika,RAIKA,476.000000,Earrings
100112,https://www.glamira.co.uk/catalog/product/view/id/100112,Women's Earring Radifel,RADIFEL,572.000000,Earrings
100106,https://www.glamira.co.uk/catalog/product/view/id/100106,Women's Earring Olimpia,Olimpia,588.000000,Earrings
100104,https://www.glamira.co.uk/catalog/product/view/id/100104,Women's Earring Nives,NIVES,587.000000,Earrings
100101,https://www.glamira.co.uk/catalog/product/view/id/100101,Women's Earring Madalina,MADALINA,462.000000,Earrings
100107,https://www.glamira.co.uk/catalog/product/view/id/100107,Women's Earring Onorata,Onorata,401.000000,Earrings
100097,https://www.glamira.co.uk/catalog/product/view/id/100097,Women's Earring Golnar,GOLNAR,224.000000,Earrings
100103,https://www.glamira.co.uk/catalog/product/view/id/100103,Women's Earring Nedezhda,NEDEZHDA,567.000000,Earrings
100099,https://www.glamira.co.uk/catalog/product/view/id/100099,Women's Earring Lacramiora,LACRAMIORA,319.000000,Earrings
100094,https://www.glamira.co.uk/catalog/product/view/id/100094,Women's Earring Ecateri,ECATERI,438.000000,Earrings
100096,https://www.glamira.co.uk/catalog/product/view/id/100096,Women's Earring Ghodsi,GHODSI,379.000000,Earrings
100115,https://www.glamira.co.uk/catalog/product/view/id/100115,Women's Earring Taflan,TAFLAN,543.000000,Earrings
100114,https://www.glamira.co.uk/catalog/product/view/id/100114,Women's Earring Shaya,SHAYA,288.000000,Earrings
100119,https://www.glamira.co.uk/catalog/product/view/id/100119,Women's Earring Tenvir,Tenvir,378.000000,Earrings
100121,https://www.glamira.co.uk/catalog/product/view/id/100121,Women's Earring Terlan,Terlan,451.000000,Earrings
100120,https://www.glamira.co.uk/catalog/product/view/id/100120,Women's Earring Tercimer,TECIMER,468.000000,Earrings
100118,https://www.glamira.co.uk/catalog/product/view/id/100118,Women's Earring Teberhun,TEBERHUN,742.000000,Earrings
100122,https://www.glamira.co.uk/catalog/product/view/id/100122,Women's Earring Tolash,Tolash,546.000000,Earrings
